Scientific_Name,en_uk,fr,es,nl,no
Alophoixus pallidus,Puff-throated Bulbul,Bulbul pâle,Bulbul Pálido,Bleke Baardbuulbuul,bruntoppbylbyl
Alophoixus phaeocephalus,Yellow-bellied Bulbul,Bulbul à calotte grise,Bulbul Capirotado,Grijskopbaardbuulbuul,gulbukbylbyl
Alophoixus tephrogenys,Grey-cheeked Bulbul,Bulbul à joues grises,Bulbul Carigrís,Grijswangbaardbuulbuul,gråkinnbylbyl
Alopochelidon fucata,Tawny-headed Swallow,Hirondelle fardée,Golondrina Cabecicastaña,Bruinkopzwaluw,rusthodesvale
Alopochen aegyptiaca,Egyptian Goose,Ouette d'Égypte,Ganso del Nilo,Nijlgans,niland
Alouatta pigra,Mexican Black Howler Monkey,Mexican Black Howler Monkey,Mexican Black Howler Monkey,Mexican Black Howler Monkey,Mexican Black Howler Monkey
Amalocichla incerta,Lesser Ground-Robin,Petite Pseudobrève,Petroica Terrestre Chica,Kortstaartlijstervliegenvanger,dvergpapuaskvett
Amandava amandava,Red Avadavat,Bengali rouge,Bengalí Rojo,Tijgervink,tigerastrild
Amaurolimnas concolor,Uniform Crake,Râle concolore,Cotara Café,Effen Bosral,brunrikse
Amaurornis isabellina,Isabelline Bush-hen,Râle isabelle,Gallineta Isabelina,Sulawesiwaterhoen,vinrikse
Amaurornis moluccana,Pale-vented Bush-hen,Râle des Moluques,Gallineta Moluqueña,Molukkenwaterhoen,buskrikse
Amaurornis phoenicurus,White-breasted Waterhen,Râle à poitrine blanche,Gallineta Pechiblanca,Witborstwaterhoen,hvitbrystrikse
Amaurospiza concolor,Blue Seedeater,Évêque bleu,Semillero Azul,Indigodikbekje,koboltspurv
Amaurospiza moesta,Blackish-blue Seedeater,Évêque noirâtre,Semillero Negruzco,Zwart-blauw Dikbekje,blekkspurv
Amazilia luciae,Honduran Emerald,Ariane de Lucy,Amazilia Hondureña,Hondurese Amazilia,honduraskolibri
Amazilia rutila,Cinnamon Hummingbird,Ariane cannelle,Amazilia Canela,Kaneelkleurige Amazilia,kanelkolibri
Amazilia tzacatl,Rufous-tailed Hummingbird,Ariane à ventre gris,Amazilia Tzacatl,Roodstaartamazilia,rusthalekolibri
Amazilia yucatanensis,Buff-bellied Hummingbird,Ariane du Yucatan,Amazilia Yucateca,Yucatánamazilia,yucatánkolibri
Amazilis amazilia,Amazilia Hummingbird,Ariane de Lesson,Amazilia Costeña,Lessons Amazilia,amaziliakolibri
Amazona aestiva,Turquoise-fronted Parrot,Amazone à front bleu,Amazona Frentiazul,Blauwvoorhoofdamazone,blåpanneamazon
Amazona agilis,Black-billed Parrot,Amazone verte,Amazona Jamaicana Piquioscura,Jamaica-amazone,dvergamazon
Amazona albifrons,White-fronted Parrot,Amazone à front blanc,Amazona Frentialba,Witvoorhoofdamazone,hvitpanneamazon
Amazona amazonica,Orange-winged Parrot,Amazone aourou,Amazona Alinaranja,Oranjevleugelamazone,oransjevingeamazon
Amazona auropalliata,Yellow-naped Parrot,Amazone à nuque d'or,Amazona Nuquigualda,Geelnekamazone,gulnakkeamazon
Amazona autumnalis,Red-lored Parrot,Amazone à diadème,Amazona Frentirroja,Geelwangamazone,gulkinnamazon
Amazona brasiliensis,Red-tailed Parrot,Amazone à joues bleues,Amazona Colirroja,Roodstaartamazone,ildhaleamazon
Amazona dufresniana,Blue-cheeked Parrot,Amazone de Dufresne,Amazona Cariazul,Blauwwangamazone,blåkinnamazon
