Scientific_Name,en_uk,fr,es,nl,no
Thryomanes bewickii,Bewick's Wren,Troglodyte de Bewick,Cucarachero Colinegro,Bewicks Winterkoning,langhalesmett
Thryophilus nicefori,Niceforo's Wren,Troglodyte de Niceforo,Cucarachero de Nicéforo,Niceforo's Winterkoning,santandersmett
Thryophilus pleurostictus,Banded Wren,Troglodyte barré,Cucarachero Ventribarrado,Acaciawinterkoning,båndsmett
Thryophilus rufalbus,Rufous-and-white Wren,Troglodyte rufalbin,Cucarachero Rufiblanco,Rood-witte Winterkoning,rustryggsmett
Thryophilus sernai,Antioquia Wren,Troglodyte de Serna,Cucarachero Antioqueño,Antioquiawinterkoning,antioquiasmett
Thryophilus sinaloa,Sinaloa Wren,Troglodyte du Sinaloa,Cucarachero Sinaloense,Sinaloawinterkoning,sinaloasmett
Thryothorus ludovicianus,Carolina Wren,Troglodyte de Caroline,Cucarachero de Carolina,Carolinawinterkoning,karolinasmett
Tiaris olivaceus,Yellow-faced Grassquit,Tiaris grand-chanteur,Semillero Tomeguín,Grote Cubavink,gulstrupegresspurv
Tichodroma muraria,Wallcreeper,Tichodrome échelette,Treparriscos,Rotskruiper,murkryper
Tickellia hodgsoni,Broad-billed Warbler,Bouscarle de Hodgson,Mosquitero Picoancho,Breedbekboszanger,brednebbsanger
Tigrisoma lineatum,Rufescent Tiger-Heron,Onoré rayé,Avetigre Colorada,Rosse Tijgerroerdomp,rusttigerhegre
Tigrisoma mexicanum,Bare-throated Tiger-Heron,Onoré du Mexique,Avetigre Mexicana,Mexicaanse Tijgerroerdomp,gråkinntigerhegre
Timalia pileata,Chestnut-capped Babbler,Timalie coiffée,Timalí Capirotado,Roodkaptimalia,kastanjekronetimal
Tinamotis pentlandii,Puna Tinamou,Tinamou quioula,Kiula Andina,Punatinamoe,punatinamu
Tinamus guttatus,White-throated Tinamou,Tinamou à gorge blanche,Tinamú Moteado,Witkeeltinamoe,perletinamu
Tinamus major,Great Tinamou,Grand Tinamou,Tinamú Oliváceo,Grote Tinamoe,stortinamu
Tinamus solitarius,Solitary Tinamou,Tinamou solitaire,Tinamú Macuco,Kluizenaarstinamoe,eremittinamu
Tinamus tao,Grey Tinamou,Tinamou tao,Tinamú Tao,Grijze Tinamoe,taotinamu
Tityra cayana,Black-tailed Tityra,Tityre gris,Titira Colinegro,Zwartstaarttityra,benediktinertityra
Tityra inquisitor,Black-crowned Tityra,Tityre à tête noire,Titira Piquinegro,Zwartkruintityra,svartkronetityra
Tityra semifasciata,Masked Tityra,Tityre masqué,Titira Enmascarado,Maskertityra,masketityra
Tockus deckeni,Von der Decken's Hornbill,Calao de der Decken,Toco de Von Der Decken,Von der Deckens Tok,savannetoko
Tockus erythrorhynchus,Northern Red-billed Hornbill,Calao à bec rouge,Toco Piquirrojo Norteño,Roodsnaveltok,rødnebbtoko
Tockus kempi,Western Red-billed Hornbill,Calao de Kemp,Toco Piquirrojo Occidental,Westelijke Roodsnaveltok,guineatoko
Tockus leucomelas,Southern Yellow-billed Hornbill,Calao leucomèle,Toco Piquigualdo Sureño,Zuidelijke Geelsnaveltok,banantoko
Tockus rufirostris,Southern Red-billed Hornbill,Calao d'Afrique du Sud,Toco Piquirrojo Sureño,Zuidelijke Roodsnaveltok,blodnebbtoko
Todiramphus australasia,Cinnamon-banded Kingfisher,Martin-chasseur couronné,Alción de la Sonda,Timorijsvogel,kanelisfugl
Todiramphus chloris,Collared Kingfisher,Martin-chasseur à collier blanc,Alción Acollarado,Witkraagijsvogel,jadeisfugl
Todiramphus funebris,Sombre Kingfisher,Martin-chasseur funèbre,Alción Sombrío,Halmaheraijsvogel,sørgeisfugl
Todiramphus macleayii,Forest Kingfisher,Martin-chasseur forestier,Alción del Macleay,Macleays IJsvogel,skogisfugl
Todiramphus sacer,Pacific Kingfisher,Martin-chasseur du Pacifique,Alción Acollarado del Pacífico,Todiramphus sacer,stillehavsisfugl
Todiramphus sanctus,Sacred Kingfisher,Martin-chasseur sacré,Alción Sagrado,Heilige Ijsvogel,maskaraisfugl
Todiramphus sordidus,Torresian Kingfisher,Martin-chasseur de Torrès,Alción Adán,Todiramphus sordidus,nefrittisfugl
Todiramphus tristrami,Melanesian Kingfisher,Martin-chasseur de Tristram,Alción de Melanesia,Todiramphus tristrami,melanesiaisfugl
Todiramphus winchelli,Rufous-lored Kingfisher,Martin-chasseur de Winchell,Alción Cuellirrojo,Winchells IJsvogel,halsbåndisfugl
Todirostrum chrysocrotaphum,Yellow-browed Tody-Flycatcher,Todirostre bridé,Titirijí Cejiamarillo,Geelbrauwschoffelsnavel,gulbryntodityrann
Todirostrum cinereum,Common Tody-Flycatcher,Todirostre familier,Titirijí Común,Geelbuikschoffelsnavel,gjøglertodityrann
Todirostrum maculatum,Spotted Tody-Flycatcher,Todirostre tacheté,Titirijí Moteado,Gevlekte Schoffelsnavel,flekktodityrann
Todirostrum nigriceps,Black-headed Tody-Flycatcher,Todirostre à tête noire,Titirijí Cabecinegro,Zwartkopschoffelsnavel,svarthodetodityrann
Todirostrum pictum,Painted Tody-Flycatcher,Todirostre peint,Titirijí Pintado,Witkeelschoffelsnavel,svarthettetodityrann
Todirostrum poliocephalum,Grey-headed Tody-Flycatcher,Todirostre à tête grise,Titirijí Cabecigrís,Grijskopschoffelsnavel,gultøyletodityrann
Todus angustirostris,Narrow-billed Tody,Todier à bec étroit,Barrancolí Picofino,Smalsnaveltodie,smalnebbtodi
Todus mexicanus,Puerto Rican Tody,Todier de Porto Rico,Barrancolí Puertorriqueño,Puertoricaanse Todie,gulsidetodi
Todus multicolor,Cuban Tody,Todier de Cuba,Barrancolí Cubano,Cubaanse Todie,kubatodi
Todus subulatus,Broad-billed Tody,Todier à bec large,Barrancolí Picogrueso,Diksnaveltodie,brednebbtodi
Todus todus,Jamaican Tody,Todier de Jamaïque,Barrancolí Jamaicano,Jamaicaanse Todie,jamaicatodi
Tolmomyias assimilis,Yellow-margined Flatbill,Tyranneau à miroir,Picoplano Aliamarillo,Spiegelbreedbektiran,gulbremtyrann
Tolmomyias flaviventris,Ochre-lored Flatbill,Tyranneau à poitrine jaune,Picoplano Pechiamarillo (grupo flaviventris),Geelbuik-breedbektiran (flaviventris groep),gulbrysttyrann (flaviventris gr.)
Tolmomyias poliocephalus,Grey-crowned Flatbill,Tyranneau poliocéphale,Picoplano Cabecigrís,Grijskruinbreedbektiran,askekronetyrann
Tolmomyias sulphurescens,Yellow-olive Flatbill,Tyranneau jaune-olive,Picoplano Sulfuroso,Groenkapbreedbektiran,bladtyrann
Tolmomyias traylori,Orange-eyed Flatbill,Tyranneau de Traylor,Picoplano Ojinaranja,Oranjeoogbreedbektiran,oransjeøyetyrann
Topaza pella,Crimson Topaz,Colibri topaze,Colibrí Topacio,Topaaskolibrie,karmintopas
Topaza pyra,Fiery Topaz,Colibri flamboyant,Colibrí Ígneo,Vuurtopaaskolibrie,flammetopas
Torreornis inexpectata,Zapata Sparrow,Bruant de Zapata,Chingolo de la Ciénaga,Zapatagors,zapataspurv
Touit batavicus,Lilac-tailed Parrotlet,Toui à sept couleurs,Cotorrita Sietecolores,Zevenkleurenpapegaai,sjufargeparakitt
Touit dilectissimus,Blue-fronted Parrotlet,Toui à front bleu,Cotorrita Cariazul,Roodvleugelpapegaai,blåøreparakitt
Touit huetii,Scarlet-shouldered Parrotlet,Toui de Huet,Cotorrita Alirroja,Roodschouderpapegaai,svartpanneparakitt
Touit melanonotus,Brown-backed Parrotlet,Toui à dos noir,Cotorrita Dorsinegra,Bruinrugpapegaai,brunryggparakitt
Touit purpuratus,Sapphire-rumped Parrotlet,Toui à queue pourprée,Cotorrita Purpurada,Paarsstaartpapegaai,blodhaleparakitt
Touit stictopterus,Spot-winged Parrotlet,Toui tacheté,Cotorrita Alipinta,Bruinschouderpapegaai,flekkvingeparakitt
Touit surdus,Golden-tailed Parrotlet,Toui à queue d'or,Cotorrita Sorda,Goudstaartpapegaai,brunskulderparakitt
Toxorhamphus novaeguineae,Yellow-bellied Longbill,Toxoramphe à ventre jaune,Picudo Ventrigualdo,Geelbuikhoningjager,svovelbuenebb
Toxostoma bendirei,Bendire's Thrasher,Moqueur de Bendire,Cuitlacoche Piquicorto,Cactusspotlijster,navahospottefugl
Toxostoma cinereum,Grey Thrasher,Moqueur gris,Cuitlacoche Ceniciento,Grijze Spotlijster,bajaspottefugl
Toxostoma crissale,Crissal Thrasher,Moqueur cul-roux,Cuitlacoche Culirrojo,Roodbuikspotlijster,mesquitespottefugl
Toxostoma curvirostre,Curve-billed Thrasher,Moqueur à bec courbe,Cuitlacoche Piquicurvo,Krombekspotlijster,kaktusspottefugl
Toxostoma lecontei,LeConte's Thrasher,Moqueur de LeConte,Cuitlacoche Pálido,Woestijnspotlijster,mohavespottefugl
Toxostoma longirostre,Long-billed Thrasher,Moqueur à long bec,Cuitlacoche Piquilargo,Langsnavelspotlijster,langnebbspottefugl
Toxostoma ocellatum,Ocellated Thrasher,Moqueur ocellé,Cuitlacoche Ocelado,Gevlekte Spotlijster,flekkspottefugl
Toxostoma redivivum,California Thrasher,Moqueur de Californie,Cuitlacoche Californiano,Californische Spotlijster,kaliforniaspottefugl
Toxostoma rufum,Brown Thrasher,Moqueur roux,Cuitlacoche Rojizo,Rosse Spotlijster,brunspottefugl
Trachyphonus darnaudii,D'Arnaud's Barbet,Barbican d'Arnaud,Barbudo de D'Arnaud,D'Arnauds Baardvogel,småperleskjeggfugl
Trachyphonus erythrocephalus,Red-and-yellow Barbet,Barbican à tête rouge,Barbudo Cabecirrojo,Vuurkopbaardvogel,termittperleskjeggfugl
Trachyphonus purpuratus,Yellow-billed Barbet,Barbican pourpré,Barbudo Piquigualdo,Geelsnavelbaardvogel,praktperleskjeggfugl
Trachyphonus vaillantii,Crested Barbet,Barbican promépic,Barbudo Crestado,Kuifbaardvogel,topperleskjeggfugl
Tregellasia capito,Pale-yellow Robin,Miro jaunâtre,Petroica Amarillenta,Bleekgele Vliegenvanger,tøyleflueskvett
Treron affinis,Grey-fronted Green-Pigeon,Colombar des Ghats,Vinago de Los Ghats,Indiase Papegaaiduif,gråpannegrønndue
Treron bicinctus,Orange-breasted Green-Pigeon,Colombar à double collier,Vinago Bicinta,Oranjeborstpapegaaiduif,tobeltegrønndue
Treron calvus,African Green-Pigeon,Colombar à front nu,Vinago Africano Común,Afrikaanse Papegaaiduif,afrikagrønndue
Treron curvirostra,Thick-billed Green-Pigeon,Colombar à gros bec,Vinago Piquigrueso,Dikbekpapegaaiduif,tykknebbgrønndue
Treron formosae,Whistling Green-Pigeon,Colombar de Formose,Vinago de Formosa,Taiwanpapegaaiduif,taiwangrønndue
Treron fulvicollis,Cinnamon-headed Green-Pigeon,Colombar à cou roux,Vinago Cabecirrufo,Waglers Papegaaiduif,mangrovegrønndue
Treron olax,Little Green-Pigeon,Colombar odorifère,Vinago Chico,Kleine Papegaaiduif,dverggrønndue
Treron phayrei,Ashy-headed Green-Pigeon,Colombar de Phayre,Vinago del Himalaya,Indochinese Papegaaiduif,ferskenbrystgrønndue
Treron phoenicopterus,Yellow-footed Green-Pigeon,Colombar commandeur,Vinago Patigualdo,Geelpootpapegaaiduif,kragegrønndue
Treron sieboldii,White-bellied Green-Pigeon,Colombar de Siebold,Vinago Japonés,Japanse Papegaaiduif,hvitbukgrønndue
Treron sphenurus,Wedge-tailed Green-Pigeon,Colombar chanteur,Vinago Rabocuña,Wigstaartpapegaaiduif,kilehalegrønndue
Treron vernans,Pink-necked Green-Pigeon,Colombar giouanne,Vinago Cuellirrosa,Maleise Papegaaiduif,palettgrønndue
Tribonyx mortierii,Tasmanian Nativehen,Gallinule de Tasmanie,Gallineta de Tasmania,Tasmaans Waterhoen,tasmansivhøne
Tribonyx ventralis,Black-tailed Nativehen,Gallinule aborigène,Gallineta Patirroja,Australisch Waterhoen,vandresivhøne
Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet,Loriquet vert,Lori Escuamiverde,Schubbenlori,gulskjellori
Trichoglossus haematodus,Coconut Lorikeet,Loriquet à tête bleue,Lori de Cocotero,Regenbooglori (haematodus groep),kokoslori
Trichoglossus moluccanus,Rainbow Lorikeet,Loriquet arc-en-ciel,Lori Arcoiris,Regenbooglori (moluccanus),regnbuelori
Trichoglossus rubritorquis,Red-collared Lorikeet,Loriquet à col rouge,Lori Cuellirojo,Regenbooglori (rubritorquis),rødkragelori
Tricholaema diademata,Red-fronted Barbet,Barbican à diadème,Barbudo Diademado,Diadeembaardvogel,diademskjeggfugl
Tricholaema hirsuta,Hairy-breasted Barbet,Barbican hérissé,Barbudo Hirsuto,Geelparelbaardvogel,hårbrystskjeggfugl
Tricholaema lacrymosa,Spot-flanked Barbet,Barbican funèbre,Barbudo Lacrimoso,Rouwbaardvogel,tåreskjeggfugl
Tricholaema leucomelas,Pied Barbet,Barbican pie,Barbudo Pío,Kaapse Baardvogel,akasieskjeggfugl
Tricholaema melanocephala,Black-throated Barbet,Barbican à tête noire,Barbudo Cabecinegro,Zwartkopbaardvogel,krattskjeggfugl
Tricholestes criniger,Hairy-backed Bulbul,Bulbul chevelu,Bulbul Peludo,Haarrugbuulbuul,hårbylbyl
Trichothraupis melanops,Black-goggled Tanager,Tangara à front noir,Tangara de Anteojos,Zwartbriltangare,maskaratanagar
Triclaria malachitacea,Blue-bellied Parrot,Crick à ventre bleu,Loro Ventriazul,Paarsbuikparkiet,blåbukpapegøye
Tringa brevipes,Grey-tailed Tattler,Chevalier de Sibérie,Playero Siberiano,Siberische Grijze Ruiter,sibirvandresnipe
Tringa erythropus,Spotted Redshank,Chevalier arlequin,Archibebe Oscuro,Zwarte Ruiter,sotsnipe
Tringa flavipes,Lesser Yellowlegs,Petit Chevalier,Archibebe Patigualdo Chico,Kleine Geelpootruiter,gulbeinsnipe
Tringa glareola,Wood Sandpiper,Chevalier sylvain,Andarríos Bastardo,Bosruiter,grønnstilk
Tringa guttifer,Nordmann's Greenshank,Chevalier tacheté,Archibebe Moteado,Nordmanns Groenpootruiter,sakhalinsnipe
Tringa incana,Wandering Tattler,Chevalier errant,Playero de Alaska,Amerikaanse Grijze Ruiter,alaskavandresnipe
Tringa melanoleuca,Greater Yellowlegs,Grand Chevalier,Archibebe Patigualdo Grande,Grote Geelpootruiter,plystresnipe
Tringa nebularia,Common Greenshank,Chevalier aboyeur,Archibebe Claro,Groenpootruiter,gluttsnipe
Tringa ochropus,Green Sandpiper,Chevalier cul-blanc,Andarríos Grande,Witgat,skogsnipe
Tringa semipalmata,Willet,Chevalier semipalmé,Playero Aliblanco,Willet,willetsnipe
Tringa solitaria,Solitary Sandpiper,Chevalier solitaire,Andarríos Solitario,Amerikaanse Bosruiter,eremittsnipe
Tringa stagnatilis,Marsh Sandpiper,Chevalier stagnatile,Archibebe Fino,Poelruiter,damsnipe
Tringa totanus,Common Redshank,Chevalier gambette,Archibebe Común,Tureluur,rødstilk
Trochalopteron affine,Black-faced Laughingthrush,Garrulaxe à face noire,Charlatán Carinegro,Zwartmaskerlijstergaai,svartkinnlattertrost
Trochalopteron chrysopterum,Assam Laughingthrush,Garrulaxe d'Assam,Charlatán de Assam,Assamlijstergaai,assamlattertrost
Trochalopteron elliotii,Elliot's Laughingthrush,Garrulaxe d'Elliot,Charlatán de Elliot,Elliots Lijstergaai,sichuanlattertrost
Trochalopteron erythrocephalum,Chestnut-crowned Laughingthrush,Garrulaxe à tête rousse,Charlatán Coronicastaño,Roodkop-lijstergaai,gulvingelattertrost
Trochalopteron henrici,Prince Henry's Laughingthrush,Garrulaxe d'Henri,Charlatán de Henri,Prins Henry's Lijstergaai,brunkinnlattertrost
Trochalopteron imbricatum,Bhutan Laughingthrush,Garrulaxe du Bhoutan,Charlatán de Bután,Bhutanlijstergaai,bhutanlattertrost
Trochalopteron lineatum,Streaked Laughingthrush,Garrulaxe barré,Charlatán Barrado,Borstellijstergaai,brunørelattertrost
Trochalopteron melanostigma,Silver-eared Laughingthrush,Garrulaxe de Blyth,Charlatán Orejiplateado,Zilveroorlijstergaai,sølvørelattertrost
Trochalopteron milnei,Red-tailed Laughingthrush,Garrulaxe à queue rouge,Charlatán Colirrojo,Roodstaartlijstergaai,rødhalelattertrost
Trochalopteron morrisonianum,White-whiskered Laughingthrush,Garrulaxe du Morrison,Charlatán de Morrison,Morrisonlijstergaai,hvitskjegglattertrost
Trochalopteron peninsulae,Malayan Laughingthrush,Garrulaxe de Malaisie,Charlatán Malayo,Maleise Lijstergaai,malaylattertrost
Trochalopteron squamatum,Blue-winged Laughingthrush,Garrulaxe écaillé,Charlatán Aliazul,Blauwvleugellijstergaai,blåvingelattertrost
Trochalopteron subunicolor,Scaly Laughingthrush,Garrulaxe modeste,Charlatán Modesto,Goudvleugellijstergaai,skjellattertrost
Trochalopteron variegatum,Variegated Laughingthrush,Garrulaxe varié,Charlatán Variegado,Prachtlijstergaai,gråvingelattertrost
Trochalopteron virgatum,Striped Laughingthrush,Garrulaxe flammé,Charlatán Rayado,Streepkaplijstergaai,strimelattertrost
Trochocercus cyanomelas,African Crested Flycatcher,Tchitrec du Cap,Monarca de El Cabo,Kaapse Kuifmonarch,hvitvingemonark
Trochocercus nitens,Blue-headed Crested Flycatcher,Tchitrec noir,Monarca Brillante,Blauwkopkuifmonarch,blåhodemonark
Troglodytes aedon,House Wren,Troglodyte familier,Chochín Criollo,Huiswinterkoning,hussmett
Troglodytes hiemalis,Winter Wren,Troglodyte des forêts,Chochín Hiemal,Oost-Amerikaanse Winterkoning,vintersmett
Troglodytes ochraceus,Ochraceous Wren,Troglodyte ocré,Chochín Ocráceo,Panamese Bergwinterkoning,okersmett
Troglodytes pacificus,Pacific Wren,Troglodyte de Baird,Chochín del Pacífico,Pacifische Winterkoning,barsmett
Troglodytes rufociliatus,Rufous-browed Wren,Troglodyte à sourcils roux,Chochín Cejirrufo,Roodbrauwwinterkoning,rustbrynsmett
Troglodytes solstitialis,Mountain Wren,Troglodyte montagnard,Chochín Montañés,Bergwinterkoning,andessmett
Troglodytes troglodytes,Eurasian Wren,Troglodyte mignon,Chochín Paleártico,Winterkoning,gjerdesmett
Trogon bairdii,Baird's Trogon,Trogon de Baird,Trogón de Baird,Bairds Trogon,blåryggtrogon
Trogon caligatus,Gartered Trogon,Trogon pattu,Trogón Violáceo Norteño,Goulds Trogon,monokkeltrogon
Trogon chionurus,White-tailed Trogon,Trogon de Sclater,Trogón Coliblanco,Witstaarttrogon,hvithaletrogon
Trogon citreolus,Citreoline Trogon,Trogon citrin,Trogón Citrino,Grijskoptrogon,guløyetrogon
Trogon clathratus,Lattice-tailed Trogon,Trogon échelette,Trogón Colibarrado,Rasterstaarttrogon,netthaletrogon
Trogon collaris,Collared Trogon,Trogon rosalba,Trogón Acollarado,Gekraagde Trogon,båndtrogon
Trogon comptus,Blue-tailed Trogon,Trogon aux yeux blancs,Trogón Coliazul,Blauwstaarttrogon,hvitøyetrogon
Trogon curucui,Blue-crowned Trogon,Trogon couroucou,Trogón Curucuí,Blauwkruintrogon,blåkronetrogon
Trogon elegans,Elegant Trogon,Trogon élégant,Trogón Elegante,Koperstaarttrogon,fagertrogon
Trogon massena,Slaty-tailed Trogon,Trogon de Masséna,Trogón Grande,Massena's Trogon,oransjenebbtrogon
Trogon melanocephalus,Black-headed Trogon,Trogon à tête noire,Trogón Cabecinegro,Zwartkoptrogon,svarthodetrogon
Trogon melanurus,Black-tailed Trogon,Trogon à queue noire,Trogón Colinegro Común,Zwartstaarttrogon,svarthaletrogon
Trogon mesurus,Ecuadorian Trogon,Trogon d'Équateur,Trogón Colinegro Occidental,Ecuadoraanse Trogon,ecuadortrogon
Trogon mexicanus,Mountain Trogon,Trogon montagnard,Trogón Mexicano,Mexicaanse Trogon,mexicotrogon
Trogon personatus,Masked Trogon,Trogon masqué,Trogón Enmascarado,Maskertrogon,masketrogon
Trogon ramonianus,Amazonian Trogon,Trogon d'Amazonie,Trogón Amazónico,Amazonetrogon,amazontrogon
Trogon rufus,Amazonian Black-throated Trogon,Trogon aurore,Trogón Amarillo,Zwartkeeltrogon,edeltrogon
Trogon surrucura,Surucua Trogon,Trogon surucua,Trogón Surucuá,Surucuátrogon,surucuatrogon
Trogon violaceus,Guianan Trogon,Trogon violacé,Trogón de las Guayanas,Guyanatrogon,gulbrilletrogon
Trogon viridis,Green-backed Trogon,Trogon à queue blanche,Trogón Dorsiverde,Groenrugtrogon,grønnryggtrogon
Tropicoperdix chloropus,Scaly-breasted Partridge,Torquéole des bois,Arborófila Pativerde,Groenpootbospatrijs,grønnbeinhøne
Tumbezia salvini,Tumbes Tyrant,Tumbes Tyrant,Tumbes Tyrant,Tumbes Tyrant,Tumbes Tyrant
Tunchiornis ochraceiceps,Tawny-crowned Greenlet,Viréon à calotte rousse,Verdillo Leonado,Okerkapvireo,rustpannevireo
Turdinus atrigularis,Black-throated Wren-Babbler,Turdinule à gorge noire,Ratina Golinegra,Zwartkeelsluiptimalia,svartstrupemarktimal
Turdinus macrodactylus,Large Wren-Babbler,Grande Turdinule,Ratina Grande,Grote Sluiptimalia,blåbrillemarktimal
Turdinus marmoratus,Marbled Wren-Babbler,Turdinule marbrée,Ratina Jaspeada,Marmersluiptimalia,brynjemarktimal
Turdoides hartlaubii,Hartlaub's Babbler,Cratérope de Hartlaub,Turdoide de Hartlaub,Zuidelijke Witstuitbabbelaar,sumpskriketrost
Turdoides jardineii,Arrow-marked Babbler,Cratérope fléché,Turdoide de Jardine,Pijlpuntbabbelaar,pilskriketrost
Turdoides leucopygia,White-rumped Babbler,Cratérope à croupion blanc,Turdoide Culiblanco,Noordelijke Witstuitbabbelaar,hvitgumpskriketrost
Turdoides plebejus,Brown Babbler,Cratérope brun,Turdoide Pardo,Sahelbabbelaar,savanneskriketrost
Turdoides reinwardtii,Blackcap Babbler,Cratérope à tête noire,Turdoide Cabecinegro,Zwartkapbabbelaar,svarthetteskriketrost
Turdoides sharpei,Black-lored Babbler,Cratérope de Sharpe,Turdoide de Sharpe,Taborababbelaar,tøyleskriketrost
Turdus abyssinicus,Abyssinian Thrush,Merle abyssinien,Zorzal Abisinio,Afrikaanse Berglijster,bergtrost
Turdus albicollis,White-necked Thrush,Merle à col blanc,Zorzal Cuelliblanco Sureño,Witneklijster,dryadetrost
Turdus albocinctus,White-collared Blackbird,Merle à collier blanc,Mirlo Acollarado,Witkraaglijster,hvitkragetrost
Turdus amaurochalinus,Creamy-bellied Thrush,Merle à ventre clair,Zorzal Chalchalero,Crèmebuiklijster,tøyletrost
Turdus assimilis,White-throated Thrush,Merle à gorge blanche,Zorzal Cuelliblanco Norteño,Mexicaanse Witneklijster,mestistrost
Turdus atrogularis,Black-throated Thrush,Grive à gorge noire,Zorzal Papinegro,Zwartkeellijster,svartstrupetrost
Turdus aurantius,White-chinned Thrush,Merle à miroir,Zorzal Gorjiblanco,Witkinlijster,hvithaketrost
Turdus boulboul,Grey-winged Blackbird,Merle à ailes grises,Mirlo Aligrís,Grijsvleugelmerel,gråvingetrost
Turdus cardis,Japanese Thrush,Merle du Japon,Zorzal Japonés,Zwartkaplijster,hjertetrost
Turdus celaenops,Izu Thrush,Merle des Izu,Zorzal de las Izu,Izulijster,izutrost
Turdus chiguanco,Chiguanco Thrush,Merle chiguanco,Mirlo Chiguanco,Chiguancolijster,chiguancotrost
Turdus chrysolaus,Brown-headed Thrush,Merle à flancs roux,Zorzal Cabecipardo,Japanse Lijster,brunhodetrost
Turdus dissimilis,Black-breasted Thrush,Merle à poitrine noire,Zorzal Pechinegro,Zwartborstlijster,svartbrysttrost
Turdus eunomus,Dusky Thrush,Grive à ailes rousses,Zorzal Eunomo,Bruine Lijster,svartflekktrost
Turdus falcklandii,Austral Thrush,Merle austral,Zorzal Patagón,Magelhaenlijster,umbratrost
Turdus feae,Grey-sided Thrush,Merle de Fea,Zorzal de Fea,Hopeilijster,mingtrost
Turdus flavipes,Yellow-legged Thrush,Merle à pattes jaunes,Mirlo Azulado,Geelpootlijster,gulbeintrost
Turdus fulviventris,Chestnut-bellied Thrush,Merle à ventre fauve,Zorzal Ventricastaño,Bruinbuiklijster,oransjebuktrost
Turdus fumigatus,Cocoa Thrush,Merle cacao,Zorzal Cacao,Cacaolijster,røyktrost
Turdus fuscater,Great Thrush,Merle géant,Mirlo Grande,Reuzenlijster,stortrost
Turdus grayi,Clay-coloured Thrush,Merle fauve,Zorzal Pardo,Grays Lijster,leirtrost
Turdus hauxwelli,Hauxwell's Thrush,Merle de Hauxwell,Zorzal de Hauxwell,Hauxwells Lijster,amazontrost
Turdus hortulorum,Grey-backed Thrush,Merle à dos gris,Zorzal Dorsigrís,Tuinlijster,gråryggtrost
Turdus ignobilis,Black-billed Thrush,Merle à bec noir,Zorzal Piquinegro,Zwartsnavellijster,svartnebbtrost
Turdus iliacus,Redwing,Grive mauvis,Zorzal Alirrojo,Koperwiek,rødvingetrost
Turdus infuscatus,Black Thrush,Merle enfumé,Mirlo Guatemalteco,Guatemalalijster,kulltrost
Turdus lawrencii,Lawrence's Thrush,Merle de Lawrence,Zorzal Imitador,Lawrence' Lijster,sumptrost
Turdus leucomelas,Pale-breasted Thrush,Merle leucomèle,Zorzal Sabiá,Vaalborstlijster,blekbrysttrost
Turdus leucops,Pale-eyed Thrush,Merle à oeil clair,Mirlo Ojiblanco,Taczanowski's Lijster,blekøyetrost
Turdus libonyana,Kurrichane Thrush,Merle kurrichane,Zorzal de Kurrichane,Kurrichanelijster,rødflanketrost
Turdus maculirostris,Ecuadorian Thrush,Merle d'Équateur,Zorzal Ecuatoriano,Ecuadorlijster,ecuadortrost
Turdus mandarinus,Chinese Blackbird,Merle de Chine,Mirlo Mandarín,Turdus mandarinus,mandarintrost
Turdus maranonicus,Marañon Thrush,Merle du Maranon,Zorzal del Marañón,Marañónlijster,marañontrost
Turdus menachensis,Yemen Thrush,Merle du Yémen,Zorzal Yemení,Jemenlijster,asirtrost
Turdus merula,Eurasian Blackbird,Merle noir,Mirlo Común,Merel,svarttrost
Turdus migratorius,American Robin,Merle d'Amérique,Zorzal Americano,Roodborstlijster,vandretrost
Turdus naumanni,Naumann's Thrush,Grive de Naumann,Zorzal de Naumann,Naumanns Lijster,rødflekktrost
Turdus nigrescens,Sooty Thrush,Merle fuligineux,Mirlo Negruzco,Roetlijster,sottrost
Turdus nigriceps,Andean Slaty Thrush,Merle ardoisé,Zorzal Plomizo Andino,Andean Slaty Thrush,andesskifertrost
Turdus nudigenis,Spectacled Thrush,Merle à lunettes,Zorzal Caripelado,Naaktooglijster,arawaktrost
Turdus obscurus,Eyebrowed Thrush,Merle obscur,Zorzal Rojigrís,Vale Lijster,gråstrupetrost
Turdus obsoletus,Pale-vented Thrush,Merle cul-blanc,Zorzal Ventripálido,Bleekbuiklijster,blekgumptrost
Turdus olivaceus,Olive Thrush,Merle olivâtre,Zorzal Oliváceo,Kaapse Lijster,auroratrost
Turdus olivater,Black-hooded Thrush,Merle à froc noir,Zorzal Cabecinegro,Kapucijnerlijster,svartkuttetrost
Turdus pallidus,Pale Thrush,Merle pâle,Zorzal Pálido,Bleke Lijster,blektrost
Turdus pelios,African Thrush,Merle africain,Zorzal Africano,Pelioslijster,landsbytrost
Turdus philomelos,Song Thrush,Grive musicienne,Zorzal Común,Zanglijster,måltrost
Turdus pilaris,Fieldfare,Grive litorne,Zorzal Real,Kramsvogel,gråtrost
Turdus plebejus,Mountain Thrush,Merle de montagne,Zorzal Plebeyo,Cabanis' Lijster,plebeiertrost
Turdus plumbeus,Red-legged Thrush,Merle vantard,Zorzal Patirrojo,Roodpootlijster,rødleggtrost
Turdus poliocephalus,Island Thrush,Merle des îles,Zorzal Insular,Eilandmerel,øytrost
